Insee;Commune;inondation
01001;L'Abergement-Clémenciat;2
01002;L'Abergement-de-Varey;2
01004;Ambérieu-en-Bugey;3
01005;Ambérieux-en-Dombes;2
01006;Ambléon;1
01007;Ambronay;4
01008;Ambutrix;2
01009;Andert-et-Condon;1
01010;Anglefort;0
01011;Apremont;1
01012;Aranc;0
01013;Arandas;0
01014;Arbent;3
01015;Arboys en Bugey;1
01016;Arbigny;5
01017;Argis;2
01019;Armix;0
01021;Ars-sur-Formans;3
01022;Artemare;3
01023;Asnières-sur-Saône;6
01024;Attignat;0
01025;Bâgé-Dommartin;2
01026;Bâgé-le-Châtel;1
01027;Balan;3
01028;Baneins;2
01029;Beaupont;0
01030;Beauregard;4
01031;Bellignat;1
01032;Béligneux;2
01033;Valserhône;4
01034;Belley;7
01035;Belleydoux;0
01036;Valromey-sur-Séran;1
01037;Bénonces;2
01038;Bény;2
01039;Béon;2
01040;Béréziat;0
01041;Bettant;2
01042;Bey;1
01043;Beynost;5
01044;Billiat;2
01045;Birieux;0
01046;Biziat;2
01047;Blyes;3
01049;La Boisse;4
01050;Boissey;1
01051;Bolozon;0
01052;Bouligneux;2
01053;Bourg-en-Bresse;6
01054;Bourg-Saint-Christophe;0
01056;Boyeux-Saint-Jérôme;3
01057;Boz;3
01058;Brégnier-Cordon;3
01060;Brénod;2
01061;Brens;2
01062;Bressolles;0
01063;Brion;3
01064;Briord;1
01065;Buellas;0
01066;La Burbanche;2
01067;Ceignes;0
01068;Cerdon;3
01069;Certines;0
01071;Cessy;1
01072;Ceyzériat;0
01073;Ceyzérieu;1
01074;Chalamont;2
01075;Chaleins;5
01076;Chaley;2
01077;Challes-la-Montagne;1
01078;Challex;0
01079;Champagne-en-Valromey;1
01080;Champdor-Corcelles;1
01081;Champfromier;1
01082;Chanay;1
01083;Chaneins;1
01084;Chanoz-Châtenay;1
01085;La Chapelle-du-Châtelard;1
01087;Charix;1
01088;Charnoz-sur-Ain;2
01089;Château-Gaillard;2
01090;Châtenay;0
01092;Châtillon-la-Palud;2
01093;Châtillon-sur-Chalaronne;5
01094;Chavannes-sur-Reyssouze;5
01095;Nivigne et Suran;1
01096;Chaveyriat;0
01098;Chazey-Bons;5
01099;Chazey-sur-Ain;3
01100;Cheignieu-la-Balme;1
01101;Chevillard;1
01102;Chevroux;1
01103;Chevry;0
01104;Chézery-Forens;1
01105;Civrieux;0
01106;Cize;0
01107;Cleyzieu;0
01108;Coligny;0
01109;Collonges;1
01110;Colomieu;1
01111;Conand;1
01112;Condamine;1
01113;Condeissiat;0
01114;Confort;1
01115;Confrançon;0
01116;Contrevoz;1
01117;Conzieu;1
01118;Corbonod;2
01121;Corlier;0
01123;Cormoranche-sur-Saône;3
01124;Cormoz;0
01125;Corveissiat;0
01127;Courmangoux;2
01128;Courtes;0
01129;Crans;0
01130;Bresse Vallons;0
01133;Cressin-Rochefort;3
01134;Crottet;5
01135;Crozet;1
01136;Cruzilles-lès-Mépillat;1
01138;Culoz;1
01139;Curciat-Dongalon;0
01140;Curtafond;0
01141;Cuzieu;1
01142;Dagneux;3
01143;Divonne-les-Bains;5
01145;Dompierre-sur-Veyle;0
01146;Dompierre-sur-Chalaronne;0
01147;Domsure;0
01148;Dortan;3
01149;Douvres;1
01150;Drom;1
01151;Druillat;1
01152;Échallon;2
01153;Échenevex;2
01155;Évosges;1
01156;Faramans;1
01157;Fareins;9
01158;Farges;0
01159;Feillens;5
01160;Ferney-Voltaire;4
01162;Flaxieu;0
01163;Foissiat;0
01165;Francheleins;2
01166;Frans;6
01167;Garnerans;3
01169;Genouilleux;4
01170;Béard-Géovreissiat;3
01171;Géovreisset;1
01173;Gex;3
01174;Giron;1
01175;Gorrevod;4
01177;Grand-Corent;0
01179;Grièges;5
01180;Grilly;1
01181;Groissiat;1
01183;Guéreins;7
01184;Hautecourt-Romanèche;0
01185;Plateau d'Hauteville;3
01187;Haut Valromey;1
01188;Illiat;1
01189;Injoux-Génissiat;1
01190;Innimond;1
01191;Izenave;0
01192;Izernore;2
01193;Izieu;1
01194;Jassans-Riottier;7
01195;Jasseron;1
01196;Jayat;2
01197;Journans;0
01198;Joyeux;0
01199;Jujurieux;5
01200;Labalme;1
01202;Lagnieu;6
01203;Laiz;2
01204;Le Poizat-Lalleyriat;3
01206;Lantenay;0
01207;Lapeyrouse;0
01208;Lavours;1
01209;Léaz;2
01210;Lélex;1
01211;Lent;0
01212;Lescheroux;2
01213;Leyment;2
01214;Leyssard;0
01215;Surjoux-Lhopital;0
01216;Lhuis;2
01219;Lompnas;1
01224;Loyettes;3
01225;Lurcy;5
01227;Magnieu;0
01228;Maillat;4
01229;Malafretaz;0
01230;Mantenay-Montlin;0
01231;Manziat;5
01232;Marboz;0
01233;Marchamp;0
01234;Marignieu;1
01235;Marlieux;2
01236;Marsonnas;0
01237;Martignat;2
01238;Massieux;6
01239;Massignieu-de-Rives;1
01240;Matafelon-Granges;0
01241;Meillonnas;1
01242;Mérignat;2
01243;Messimy-sur-Saône;7
01244;Meximieux;5
01245;Bohas-Meyriat-Rignat;1
01246;Mézériat;3
01247;Mijoux;1
01248;Mionnay;1
01249;Miribel;7
01250;Misérieux;3
01252;Mogneneins;2
01254;Montagnat;2
01255;Montagnieu;3
01257;Montanges;1
01258;Montceaux;2
01259;Montcet;1
01260;Le Montellier;0
01261;Monthieux;0
01262;Montluel;5
01263;Montmerle-sur-Saône;5
01264;Montracol;0
01265;Montréal-la-Cluse;3
01266;Montrevel-en-Bresse;0
01267;Nurieux-Volognat;3
01268;Murs-et-Gélignieux;1
01269;Nantua;3
01272;Neuville-les-Dames;2
01273;Neuville-sur-Ain;1
01274;Les Neyrolles;1
01275;Neyron;3
01276;Niévroz;2
01277;Nivollet-Montgriffon;0
01279;Oncieu;1
01280;Ordonnaz;1
01281;Ornex;0
01282;Outriaz;1
01283;Oyonnax;4
01284;Ozan;3
01285;Parcieux;7
01286;Parves et Nattages;3
01288;Péron;2
01289;Péronnas;3
01290;Pérouges;2
01291;Perrex;2
01293;Peyriat;0
01294;Peyrieu;2
01295;Peyzieux-sur-Saône;3
01296;Pirajoux;0
01297;Pizay;0
01298;Plagne;1
01299;Le Plantay;1
01301;Polliat;1
01302;Pollieu;0
01303;Poncin;3
01304;Pont-d'Ain;3
01305;Pont-de-Vaux;13
01306;Pont-de-Veyle;3
01307;Port;2
01308;Pougny;0
01309;Pouillat;0
01310;Prémeyzel;1
01311;Prémillieu;1
01313;Prévessin-Moëns;2
01314;Priay;4
01317;Ramasse;0
01318;Rancé;2
01319;Relevant;2
01320;Replonges;6
01321;Revonnas;0
01322;Reyrieux;6
01323;Reyssouze;4
01325;Rignieux-le-Franc;0
01328;Romans;0
01329;Rossillon;1
01330;Ruffieu;1
01331;Saint-Alban;1
01332;Saint-André-de-Bâgé;1
01333;Saint-André-de-Corcy;1
01334;Saint-André-d'Huiriat;1
01335;Saint-André-le-Bouchoux;0
01336;Saint-André-sur-Vieux-Jonc;2
01337;Saint-Bénigne;7
01338;Groslée-Saint-Benoit;2
01339;Saint-Bernard;6
01342;Sainte-Croix;0
01343;Saint-Cyr-sur-Menthon;2
01344;Saint-Denis-lès-Bourg;2
01345;Saint-Denis-en-Bugey;2
01346;Saint-Didier-d'Aussiat;0
01347;Saint-Didier-de-Formans;5
01348;Saint-Didier-sur-Chalaronne;8
01349;Saint-Éloi;0
01350;Saint-Étienne-du-Bois;3
01351;Saint-Étienne-sur-Chalaronne;4
01352;Saint-Étienne-sur-Reyssouze;3
01353;Sainte-Euphémie;3
01354;Saint-Genis-Pouilly;2
01355;Saint-Genis-sur-Menthon;1
01356;Saint-Georges-sur-Renon;0
01357;Saint-Germain-de-Joux;1
01358;Saint-Germain-les-Paroisses;2
01359;Saint-Germain-sur-Renon;0
01360;Saint-Jean-de-Gonville;1
01361;Saint-Jean-de-Niost;1
01362;Saint-Jean-de-Thurigneux;1
01363;Saint-Jean-le-Vieux;4
01364;Saint-Jean-sur-Reyssouze;1
01365;Saint-Jean-sur-Veyle;2
01366;Sainte-Julie;1
01367;Saint-Julien-sur-Reyssouze;1
01368;Saint-Julien-sur-Veyle;0
01369;Saint-Just;0
01370;Saint-Laurent-sur-Saône;6
01371;Saint-Marcel;0
01372;Saint-Martin-de-Bavel;1
01373;Saint-Martin-du-Frêne;2
01374;Saint-Martin-du-Mont;0
01375;Saint-Martin-le-Châtel;0
01376;Saint-Maurice-de-Beynost;7
01378;Saint-Maurice-de-Gourdans;3
01379;Saint-Maurice-de-Rémens;3
01380;Saint-Nizier-le-Bouchoux;2
01381;Saint-Nizier-le-Désert;1
01382;Sainte-Olive;2
01383;Saint-Paul-de-Varax;0
01384;Saint-Rambert-en-Bugey;3
01385;Saint-Rémy;1
01386;Saint-Sorlin-en-Bugey;4
01387;Saint-Sulpice;0
01388;Saint-Trivier-de-Courtes;0
01389;Saint-Trivier-sur-Moignans;4
01390;Saint-Vulbas;2
01391;Salavre;0
01392;Samognat;0
01393;Sandrans;0
01396;Sault-Brénaz;3
01397;Sauverny;0
01398;Savigneux;4
01399;Ségny;4
01400;Seillonnaz;1
01401;Sergy;1
01402;Sermoyer;5
01403;Serrières-de-Briord;1
01404;Serrières-sur-Ain;0
01405;Servas;0
01406;Servignat;0
01407;Seyssel;2
01408;Simandre-sur-Suran;0
01410;Sonthonnax-la-Montagne;0
01411;Souclin;2
01412;Sulignat;1
01415;Talissieu;1
01416;Tenay;2
01418;Thil;4
01419;Thoiry;1
01420;Thoissey;4
01421;Torcieu;2
01422;Tossiat;1
01423;Toussieux;1
01424;Tramoyes;1
01425;La Tranclière;1
01426;Val-Revermont;4
01427;Trévoux;6
01428;Valeins;2
01429;Vandeins;0
01430;Varambon;3
01431;Vaux-en-Bugey;1
01432;Verjon;1
01433;Vernoux;0
01434;Versailleux;2
01435;Versonnex;1
01436;Vesancy;3
01437;Vescours;1
01439;Vésines;3
01441;Vieu-d'Izenave;1
01443;Villars-les-Dombes;3
01444;Villebois;1
01445;Villemotier;3
01446;Villeneuve;2
01447;Villereversure;0
01448;Villes;1
01449;Villette-sur-Ain;2
01450;Villieu-Loyes-Mollon;6
01451;Viriat;2
01452;Virieu-le-Grand;2
01453;Arvière-en-Valromey;2
01454;Virignin;1
01456;Vongnes;0
01457;Vonnas;4
02001;Abbécourt;5
02002;Achery;5
02003;Acy;6
02004;Agnicourt-et-Séchelles;3
02005;Aguilcourt;4
02006;Aisonville-et-Bernoville;3
02007;Aizelles;6
02008;Aizy-Jouy;1
02009;Alaincourt;4
02010;Allemant;2
02011;Ambleny;5
02012;Ambrief;3
02013;Amifontaine;1
02014;Amigny-Rouy;3
02015;Ancienville;2
02016;Andelain;2
02017;Anguilcourt-le-Sart;6
02018;Anizy-le-Grand;3
02019;Annois;1
02020;Any-Martin-Rieux;6
02021;Archon;1
02022;Arcy-Sainte-Restitue;2
02023;Armentières-sur-Ourcq;1
02024;Arrancy;4
02025;Artemps;2
02027;Assis-sur-Serre;6
02028;Athies-sous-Laon;1
02029;Attilly;3
02030;Aubencheul-aux-Bois;1
02031;Aubenton;4
02032;Aubigny-aux-Kaisnes;1
02033;Aubigny-en-Laonnois;1
02034;Audignicourt;1
02035;Audigny;2
02036;Augy;1
02037;Aulnois-sous-Laon;3
02038;Les Autels;1
02039;Autremencourt;2
02040;Autreppes;6
02041;Autreville;4
02042;Azy-sur-Marne;6
02043;Bagneux;1
02044;Bancigny;2
02046;Barenton-Bugny;2
02047;Barenton-Cel;2
02048;Barenton-sur-Serre;2
02049;Barisis-aux-Bois;5
02050;Barzy-en-Thiérache;3
02051;Barzy-sur-Marne;10
02052;Bassoles-Aulers;3
02053;Vallées en Champagne;8
02054;Bazoches-sur-Vesles;3
02055;Beaumé;1
02056;Beaumont-en-Beine;1
02057;Beaurevoir;4
02058;Beaurieux;5
02059;Beautor;6
02060;Beauvois-en-Vermandois;1
02061;Becquigny;2
02062;Belleau;3
02063;Bellenglise;4
02064;Belleu;7
02065;Bellicourt;3
02066;Benay;1
02067;Bergues-sur-Sambre;1
02068;Berlancourt;1
02069;Berlise;4
02070;Bernot;3
02071;Berny-Rivière;12
02072;Berrieux;1
02073;Berry-au-Bac;3
02074;Bertaucourt-Epourdon;2
02075;Berthenicourt;4
02076;Bertricourt;2
02077;Berzy-le-Sec;3
02078;Besmé;2
02079;Besmont;1
02080;Besny-et-Loizy;3
02081;Béthancourt-en-Vaux;1
02082;Beugneux;1
02083;Beuvardes;7
02084;Bézu-le-Guéry;2
02085;Bézu-Saint-Germain;3
02086;Bichancourt;5
02087;Bieuxy;1
02088;Bièvres;2
02089;Billy-sur-Aisne;3
02090;Billy-sur-Ourcq;1
02091;Blanzy-lès-Fismes;2
02093;Blérancourt;2
02094;Blesmes;5
02095;Bohain-en-Vermandois;5
02096;Bois-lès-Pargny;1
02097;Boncourt;2
02098;Bonneil;5
02099;Bonnesvalyn;3
02100;Bony;3
02101;Bosmont-sur-Serre;4
02102;Bouconville-Vauclair;3
02103;Boué;4
02104;Bouffignereux;1
02105;Bouresches;2
02106;Bourg-et-Comin;6
02107;Bourguignon-sous-Coucy;3
02108;Bourguignon-sous-Montbavin;1
02109;La Bouteille;9
02110;Braine;6
02111;Brancourt-en-Laonnois;2
02112;Brancourt-le-Grand;3
02114;Brasles;9
02115;Braye-en-Laonnois;1
02116;Braye-en-Thiérache;1
02117;Bray-Saint-Christophe;1
02118;Braye;2
02119;Brécy;3
02120;Brenelle;1
02121;Breny;7
02122;Brie;1
02123;Brissay-Choigny;4
02124;Brissy-Hamégicourt;4
02125;Brumetz;1
02126;Brunehamel;1
02127;Bruyères-sur-Fère;3
02128;Bruyères-et-Montbérault;3
02129;Bruys;2
02130;Bucilly;9
02131;Bucy-le-Long;7
02132;Bucy-lès-Cerny;1
02133;Bucy-lès-Pierrepont;1
02134;Buire;5
02135;Buironfosse;7
02136;Burelles;2
02137;Bussiares;2
02138;Buzancy;1
02139;Caillouël-Crépigny;1
02140;Camelin;2
02141;La Capelle;6
02142;Castres;3
02143;Le Catelet;3
02144;Caulaincourt;1
02145;Caumont;3
02146;Celles-lès-Condé;4
02148;Celles-sur-Aisne;4
02149;Cerizy;1
02150;Cerny-en-Laonnois;2
02151;Cerny-lès-Bucy;2
02152;Cerseuil;1
02153;Cessières-Suzy;3
02154;Chacrise;3
02155;Chaillevois;1
02156;Chalandry;3
02157;Chambry;3
02158;Chamouille;1
02159;Champs;1
02160;Chaourse;8
02162;La Chapelle-sur-Chézy;1
02163;Charly-sur-Marne;8
02164;Le Charmel;4
02165;Charmes;5
02166;Chartèves;4
02167;Chassemy;2
02168;Château-Thierry;12
02169;Châtillon-lès-Sons;1
02170;Châtillon-sur-Oise;4
02171;Chaudardes;2
02172;Chaudun;2
02173;Chauny;7
02174;Chavignon;1
02175;Chavigny;1
02176;Chavonne;7
02177;Chérêt;4
02178;Chermizy-Ailles;1
02179;Chéry-Chartreuve;2
02180;Chéry-lès-Pouilly;5
02181;Chéry-lès-Rozoy;3
02182;Chevennes;3
02183;Chevregny;1
02184;Chevresis-Monceau;3
02185;Chézy-en-Orxois;4
02186;Chézy-sur-Marne;9
02187;Chierry;5
02188;Chigny;6
02189;Chivres-en-Laonnois;2
02190;Chivres-Val;2
02191;Chivy-lès-Étouvelles;1
02192;Chouy;7
02193;Cierges;2
02194;Cilly;3
02195;Ciry-Salsogne;3
02196;Clacy-et-Thierret;1
02197;Clairfontaine;5
02198;Clamecy;3
02199;Clastres;3
02200;Clermont-les-Fermes;1
02201;Coeuvres-et-Valsery;9
02203;Coincy;5
02204;Coingt;1
02205;Colligis-Crandelain;1
02206;Colonfay;1
02207;Commenchon;3
02208;Concevreux;3
02209;Condé-en-Brie;5
02210;Condé-sur-Aisne;5
02211;Condé-sur-Suippe;5
02212;Condren;9
02213;Connigis;3
02214;Contescourt;1
02215;Corbeny;2
02216;Corcy;2
02217;Coucy-le-Château-Auffrique;2
02218;Coucy-lès-Eppes;3
02219;Coucy-la-Ville;2
02220;Coulonges-Cohan;3
02221;Coupru;4
02222;Courbes;2
02223;Courboin;3
02224;Courcelles-sur-Vesle;4
02225;Courchamps;1
02226;Courmelles;6
02227;Courmont;2
02228;Courtemont-Varennes;6
02229;Courtrizy-et-Fussigny;2
02230;Couvrelles;1
02231;Couvron-et-Aumencourt;3
02232;Coyolles;1
02233;Cramaille;1
02234;Craonne;1
02235;Craonnelle;5
02236;Crécy-au-Mont;2
02237;Crécy-sur-Serre;8
02238;Crépy;6
02239;Crézancy;3
02240;Croix-Fonsomme;5
02241;La Croix-sur-Ourcq;1
02242;Crouttes-sur-Marne;6
02243;Crouy;7
02244;Crupilly;5
02245;Cuffies;6
02246;Cugny;2
02248;Cuirieux;3
02249;Cuiry-Housse;3
02250;Cuiry-lès-Chaudardes;2
02251;Cuiry-lès-Iviers;1
02252;Cuissy-et-Geny;2
02253;Cuisy-en-Almont;2
02254;Cutry;2
02255;Cys-la-Commune;5
02256;Dagny-Lambercy;2
02257;Dallon;2
02258;Dammard;1
02259;Dampleux;4
02260;Danizy;2
02261;Dercy;8
02262;Deuillet;5
02263;Dhuizel;1
02264;Dizy-le-Gros;2
02265;Dohis;1
02266;Dolignon;2
02267;Dommiers;2
02268;Domptin;4
02269;Dorengt;3
02270;Douchy;1
02271;Dravegny;1
02272;Droizy;1
02273;Dury;3
02274;Ébouleau;2
02275;Effry;6
02276;Englancourt;5
02277;Épagny;5
02278;Éparcy;3
02279;Épaux-Bézu;3
02280;Épieds;6
02281;L'Épine-aux-Bois;2
02282;Eppes;2
02283;Erlon;4
02284;Erloy;5
02286;Esquéhéries;4
02287;Essigny-le-Grand;2
02288;Essigny-le-Petit;4
02289;Essises;4
02290;Essômes-sur-Marne;15
02291;Estrées;2
02292;Étampes-sur-Marne;6
02293;Étaves-et-Bocquiaux;2
02294;Étouvelles;4
02295;Étréaupont;11
02296;Étreillers;2
02297;Étrépilly;2
02298;Étreux;6
02299;Évergnicourt;4
02302;Faverolles;1
02303;Fayet;4
02304;La Fère;6
02305;Fère-en-Tardenois;7
02306;La Ferté-Chevresis;4
